Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
obese,female,pescatarian,twice a day,coal,public,,156,very frequently,131,extra large,1,14,20,23,3009
underweight,male,omnivore,daily,wood,private,diesel,252,very frequently,1419,large,5,8,43,20,3748
normal,female,vegan,daily,electricity,private,electric,162,rarely,9159,small,7,2,26,16,1122
obese,male,vegetarian,daily,wood,private,hybrid,145,never,8016,small,3,21,14,16,2810
overweight,female,omnivore,daily,electricity,walk/bicycle,,214,never,87,medium,3,24,32,23,1346
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,126,rarely,3,small,5,15,3,12,671
underweight,female,omnivore,twice a day,wood,walk/bicycle,,91,frequently,13,extra large,1,19,44,16,1695
normal,female,omnivore,more frequently,electricity,walk/bicycle,,205,never,74,large,3,6,2,19,810
underweight,female,pescatarian,twice a day,wood,private,hybrid,285,frequently,7743,extra large,3,1,33,4,2768
underweight,female,vegan,more frequently,natural gas,public,,178,never,993,large,7,11,2,13,1033
obese,female,omnivore,twice a day,coal,public,,236,rarely,1997,large,4,6,17,6,2046
obese,female,omnivore,more frequently,coal,private,electric,286,rarely,2721,small,6,23,30,22,2171
normal,female,vegetarian,daily,coal,walk/bicycle,,108,rarely,5,medium,7,21,0,4,1312
obese,male,vegan,twice a day,wood,public,,76,rarely,941,large,1,24,3,18,1209
underweight,male,vegan,more frequently,coal,private,diesel,270,frequently,8815,small,2,7,37,9,4017
normal,female,pescatarian,more frequently,wood,private,electric,146,rarely,3276,extra large,1,13,10,10,877
obese,male,vegan,twice a day,electricity,private,hybrid,221,never,3309,medium,5,8,16,20,1856
obese,male,pescatarian,more frequently,wood,private,hybrid,230,never,2623,medium,2,20,31,12,2197
obese,female,omnivore,twice a day,electricity,private,diesel,295,very frequently,7915,large,1,15,10,18,4281
underweight,male,vegan,less frequently,electricity,private,lpg,177,frequently,8897,small,3,17,3,24,3480
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,189,never,19,medium,1,22,36,7,953
underweight,male,omnivore,daily,natural gas,private,electric,174,frequently,3662,small,2,9,44,21,2046
obese,male,vegan,twice a day,coal,private,petrol,193,never,611,large,6,12,37,5,2521
overweight,male,omnivore,twice a day,wood,public,,238,very frequently,1431,large,6,1,33,3,3551
normal,male,pescatarian,twice a day,wood,public,,101,never,1978,medium,3,14,36,11,1459
underweight,male,vegan,daily,electricity,walk/bicycle,,99,very frequently,92,extra large,2,8,29,18,2492
obese,male,omnivore,daily,coal,walk/bicycle,,50,frequently,82,large,1,10,23,16,2411
obese,female,pescatarian,daily,coal,public,,71,very frequently,1851,large,7,15,0,20,2761
underweight,female,vegetarian,twice a day,wood,public,,232,rarely,1224,extra large,3,7,26,9,1500
overweight,male,pescatarian,more frequently,wood,private,electric,247,never,8219,extra large,5,18,2,5,1708
obese,female,omnivore,less frequently,coal,public,,222,never,1390,extra large,4,19,2,7,1717
overweight,male,vegan,less frequently,wood,public,,61,frequently,434,medium,1,23,41,14,2135
underweight,male,vegan,less frequently,wood,private,hybrid,137,never,7460,small,6,5,11,20,2042
normal,female,vegan,more frequently,wood,walk/bicycle,,157,rarely,15,small,1,20,50,18,1221
underweight,male,vegetarian,less frequently,natural gas,private,diesel,174,very frequently,4686,extra large,2,0,47,2,3473
normal,female,vegetarian,daily,electricity,walk/bicycle,,214,never,88,large,5,12,39,21,1378
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,214,very frequently,40,extra large,2,21,43,2,2135
normal,male,pescatarian,more frequently,wood,walk/bicycle,,66,never,56,small,6,11,49,20,1464
overweight,female,vegan,less frequently,coal,walk/bicycle,,123,very frequently,14,extra large,6,22,2,22,2816
normal,male,vegan,less frequently,wood,public,,105,very frequently,108,medium,1,17,19,11,2210
obese,female,omnivore,less frequently,natural gas,private,electric,125,never,5168,small,3,1,40,17,1552
normal,male,vegan,more frequently,coal,private,petrol,280,frequently,672,small,3,24,34,18,2406
obese,female,vegan,less frequently,natural gas,walk/bicycle,,238,very frequently,94,extra large,3,17,21,22,3004
obese,female,vegetarian,daily,wood,private,petrol,270,rarely,3114,large,3,14,5,10,2540
normal,female,vegetarian,twice a day,natural gas,private,lpg,80,rarely,7134,extra large,2,5,8,5,2424
overweight,female,vegan,more frequently,coal,private,diesel,276,rarely,8609,extra large,6,6,14,20,4000
normal,female,omnivore,less frequently,natural gas,public,,210,never,852,extra large,1,16,32,10,1288
obese,male,vegetarian,less frequently,natural gas,public,,270,rarely,1673,medium,6,16,50,14,2317
normal,female,vegetarian,more frequently,coal,public,,152,very frequently,1564,large,7,9,17,15,2730
normal,female,vegan,more frequently,wood,walk/bicycle,,247,rarely,74,small,7,3,17,22,1371
normal,female,omnivore,daily,natural gas,private,petrol,145,rarely,2885,small,4,3,33,21,2349
normal,male,vegan,twice a day,natural gas,private,petrol,260,rarely,8130,large,7,7,27,0,4536
overweight,female,vegetarian,twice a day,wood,public,,283,very frequently,228,extra large,3,2,40,17,2987
normal,female,vegetarian,more frequently,wood,public,,277,never,1162,medium,4,1,20,7,1039
normal,male,pescatarian,less frequently,wood,public,,203,never,71,medium,2,10,24,12,1036
obese,female,omnivore,twice a day,natural gas,private,diesel,213,frequently,6337,extra large,4,13,1,0,3620
normal,male,vegan,more frequently,natural gas,public,,135,rarely,1649,small,4,8,21,2,1009
underweight,female,omnivore,daily,natural gas,private,diesel,96,very frequently,6159,small,2,6,5,19,2895
overweight,male,omnivore,more frequently,electricity,private,diesel,162,never,9884,extra large,1,21,32,21,4294
normal,male,vegan,more frequently,wood,private,hybrid,233,frequently,4060,extra large,7,13,46,7,3429
underweight,female,omnivore,daily,natural gas,walk/bicycle,,262,rarely,68,medium,7,11,13,9,1334
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,176,very frequently,5,large,7,13,34,16,3697
normal,female,pescatarian,twice a day,natural gas,public,,176,rarely,702,small,4,7,31,18,1494
underweight,male,vegan,less frequently,coal,walk/bicycle,,147,very frequently,2,extra large,4,1,14,17,2779
overweight,female,omnivore,less frequently,coal,walk/bicycle,,83,rarely,42,small,1,7,0,1,993
normal,female,omnivore,less frequently,coal,public,,205,never,274,extra large,5,20,32,0,1944
normal,female,omnivore,less frequently,coal,public,,125,frequently,590,small,3,1,3,1,1474
overweight,male,vegetarian,twice a day,natural gas,private,diesel,145,frequently,84,small,1,1,5,22,1880
normal,female,pescatarian,less frequently,coal,private,diesel,236,frequently,6908,large,3,15,8,17,3535
underweight,female,omnivore,daily,wood,walk/bicycle,,101,rarely,52,medium,7,17,45,17,1644
obese,female,vegetarian,more frequently,natural gas,private,lpg,77,frequently,121,extra large,2,2,0,3,1268
obese,male,omnivore,less frequently,natural gas,walk/bicycle,,241,rarely,30,small,7,19,14,19,1529
obese,male,vegan,twice a day,electricity,public,,124,rarely,1336,extra large,4,10,34,20,2076
obese,male,omnivore,less frequently,electricity,walk/bicycle,,82,never,89,large,4,5,49,10,1850
normal,male,pescatarian,less frequently,natural gas,public,,262,never,1412,small,6,10,7,19,1000
obese,male,vegetarian,twice a day,electricity,walk/bicycle,,254,never,4,small,3,6,34,13,1485
overweight,female,pescatarian,more frequently,coal,public,,76,rarely,1924,medium,1,14,19,2,1139
underweight,female,pescatarian,daily,natural gas,walk/bicycle,,207,never,64,large,2,8,13,14,682
overweight,male,vegan,daily,natural gas,private,electric,234,never,8659,large,1,8,10,11,926
normal,female,pescatarian,daily,coal,walk/bicycle,,93,rarely,82,small,1,17,8,23,1037
normal,female,vegan,less frequently,electricity,walk/bicycle,,76,very frequently,31,small,4,1,0,0,1467
normal,male,omnivore,more frequently,natural gas,private,electric,67,rarely,5230,medium,3,5,6,0,914
underweight,female,omnivore,twice a day,electricity,public,,101,frequently,450,extra large,4,22,35,20,1741
underweight,male,vegetarian,more frequently,coal,public,,73,very frequently,441,small,2,19,46,13,2742
obese,female,vegetarian,twice a day,wood,private,lpg,280,rarely,6160,large,2,1,8,19,2988
overweight,female,vegan,twice a day,coal,walk/bicycle,,85,frequently,35,medium,4,20,34,4,2160
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,256,frequently,57,large,6,5,44,24,3098
normal,male,vegetarian,daily,wood,walk/bicycle,,193,very frequently,7,extra large,3,10,43,7,2764
underweight,male,pescatarian,less frequently,wood,private,hybrid,145,frequently,5469,medium,4,16,5,5,2335
underweight,female,pescatarian,twice a day,wood,walk/bicycle,,282,frequently,6,medium,3,12,23,7,1462
obese,male,omnivore,daily,coal,public,,133,frequently,21,small,3,5,31,11,2356
underweight,male,vegetarian,daily,coal,public,,232,rarely,1127,medium,1,19,45,16,1731
normal,female,omnivore,daily,coal,walk/bicycle,,129,never,7,medium,2,22,25,18,1162
normal,female,vegetarian,more frequently,coal,private,electric,140,frequently,6028,extra large,3,11,12,19,1884
underweight,male,vegan,daily,wood,private,lpg,155,rarely,1669,small,3,1,18,15,1505
obese,male,pescatarian,less frequently,wood,public,,171,never,1972,small,6,11,0,4,1252
normal,female,omnivore,less frequently,electricity,public,,274,never,684,medium,6,9,22,10,1360
overweight,male,omnivore,twice a day,coal,walk/bicycle,,264,very frequently,13,large,4,15,42,20,3824
normal,male,vegan,daily,coal,private,lpg,98,very frequently,8061,small,7,14,18,4,4580
normal,female,vegan,twice a day,coal,private,lpg,252,never,2544,extra large,7,24,50,24,2833
underweight,male,vegetarian,twice a day,electricity,walk/bicycle,,256,rarely,46,extra large,1,17,35,14,1131
normal,male,pescatarian,twice a day,electricity,public,,209,very frequently,62,small,1,24,18,9,2382
normal,male,vegan,less frequently,wood,private,electric,269,frequently,4447,extra large,4,12,43,7,2649
normal,male,pescatarian,more frequently,wood,private,diesel,113,rarely,4303,small,7,17,23,17,2706
overweight,male,vegan,daily,electricity,private,lpg,270,very frequently,3176,medium,5,24,16,0,3045
underweight,male,pescatarian,more frequently,wood,private,diesel,72,rarely,7255,small,2,0,50,1,3134
obese,male,vegan,less frequently,wood,walk/bicycle,,101,very frequently,62,extra large,7,2,19,11,3619
underweight,male,omnivore,less frequently,wood,private,petrol,196,very frequently,6254,small,6,21,45,20,5013
overweight,female,vegan,twice a day,coal,walk/bicycle,,277,very frequently,93,medium,3,17,17,24,2443
normal,female,omnivore,twice a day,wood,walk/bicycle,,91,never,86,small,3,2,8,7,488
overweight,male,pescatarian,twice a day,wood,public,,97,rarely,357,extra large,7,4,39,23,2409
overweight,male,vegan,less frequently,wood,private,petrol,244,very frequently,8725,large,7,10,46,1,7159
overweight,male,vegetarian,daily,natural gas,public,,108,very frequently,1753,medium,5,13,16,2,2670
overweight,female,omnivore,daily,wood,walk/bicycle,,106,very frequently,45,large,1,19,44,16,2321
underweight,male,vegan,twice a day,coal,public,,103,rarely,292,small,5,14,25,11,1574
overweight,female,vegetarian,less frequently,coal,public,,220,very frequently,1739,medium,6,20,0,20,2471
obese,male,omnivore,less frequently,electricity,walk/bicycle,,287,frequently,2,small,6,14,27,23,2541
overweight,female,omnivore,daily,wood,walk/bicycle,,123,very frequently,38,medium,3,0,21,19,2298
overweight,male,pescatarian,less frequently,electricity,public,,259,rarely,970,large,1,18,31,15,1445
overweight,male,vegan,twice a day,natural gas,private,lpg,172,never,8616,extra large,7,12,2,16,4240
underweight,male,pescatarian,twice a day,coal,public,,227,very frequently,635,small,3,4,42,11,2650
normal,female,omnivore,twice a day,coal,private,electric,161,never,2914,medium,1,3,13,23,1033
underweight,male,pescatarian,more frequently,electricity,walk/bicycle,,146,rarely,92,small,3,21,26,15,990
normal,female,vegan,twice a day,electricity,walk/bicycle,,151,never,67,large,6,13,6,7,937
overweight,female,pescatarian,daily,electricity,private,diesel,244,frequently,6972,medium,5,3,23,23,3483
obese,female,pescatarian,twice a day,natural gas,private,petrol,193,very frequently,9812,large,3,5,31,17,6515
normal,male,omnivore,less frequently,wood,public,,255,very frequently,1057,small,7,8,27,18,2929
normal,male,pescatarian,daily,wood,private,lpg,125,rarely,3295,large,1,11,34,11,2377
underweight,female,omnivore,more frequently,coal,walk/bicycle,,52,frequently,97,small,1,7,9,10,1252
normal,female,omnivore,twice a day,wood,private,electric,252,rarely,9705,extra large,6,9,8,23,1874
underweight,female,vegan,less frequently,natural gas,private,diesel,69,rarely,3105,small,6,8,38,2,1579
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,139,never,6,extra large,1,23,2,11,974
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,,242,very frequently,34,small,2,15,42,8,2607
underweight,male,pescatarian,twice a day,natural gas,public,,224,frequently,1328,large,2,24,28,22,2054
normal,male,omnivore,less frequently,coal,public,,242,never,779,small,7,7,16,12,1662
overweight,female,vegan,daily,natural gas,public,,193,rarely,913,extra large,4,5,29,1,1463
overweight,female,pescatarian,more frequently,wood,private,electric,79,rarely,5464,small,1,19,45,14,1143
underweight,male,pescatarian,daily,wood,private,diesel,222,never,3912,medium,6,7,41,20,2790
overweight,female,omnivore,more frequently,natural gas,walk/bicycle,,271,rarely,89,extra large,7,5,46,20,2629
overweight,female,omnivore,daily,wood,private,hybrid,193,frequently,4359,medium,5,15,9,5,2338
overweight,female,pescatarian,daily,coal,private,diesel,156,rarely,7873,large,7,21,44,6,3984
normal,male,pescatarian,more frequently,natural gas,public,,168,rarely,374,small,2,20,34,3,1253
obese,female,vegetarian,less frequently,natural gas,public,,175,rarely,1218,medium,1,10,17,19,1480
overweight,female,omnivore,less frequently,natural gas,walk/bicycle,,212,rarely,1,medium,1,4,38,9,1556
overweight,male,omnivore,daily,natural gas,public,,101,never,638,medium,7,8,36,1,1847
normal,female,omnivore,twice a day,natural gas,private,hybrid,296,rarely,8641,medium,4,19,3,20,2778
normal,male,omnivore,more frequently,coal,walk/bicycle,,66,never,46,small,5,14,50,14,1828
overweight,female,vegetarian,less frequently,wood,private,hybrid,210,rarely,2871,large,1,15,35,0,1684
obese,female,omnivore,daily,coal,public,,189,very frequently,978,extra large,1,15,46,24,3503
normal,female,omnivore,twice a day,natural gas,public,,225,very frequently,1585,medium,1,12,36,1,2540
underweight,female,vegan,more frequently,wood,walk/bicycle,,139,never,92,extra large,2,11,21,1,838
normal,female,vegetarian,less frequently,coal,private,lpg,217,very frequently,4197,medium,4,17,28,8,3559
normal,female,vegan,more frequently,electricity,public,,275,frequently,199,medium,4,15,2,16,1237
normal,female,omnivore,more frequently,coal,public,,81,frequently,732,medium,4,1,6,1,1406
underweight,male,vegan,daily,natural gas,public,,270,frequently,584,medium,6,5,4,15,1812
underweight,male,pescatarian,daily,natural gas,public,,219,very frequently,476,large,4,17,26,10,2784
obese,female,omnivore,twice a day,electricity,public,,207,very frequently,1507,extra large,4,24,2,15,2554
underweight,male,vegetarian,twice a day,wood,private,electric,131,rarely,6915,small,5,0,28,5,1203
underweight,female,vegan,less frequently,coal,public,,56,rarely,133,large,4,11,8,5,1167
normal,male,vegetarian,more frequently,coal,walk/bicycle,,184,rarely,9,medium,1,13,30,3,1279
overweight,female,vegan,daily,electricity,walk/bicycle,,250,never,34,small,6,5,6,22,842
normal,male,vegetarian,more frequently,coal,private,electric,85,very frequently,9359,large,2,19,32,10,2654
underweight,female,pescatarian,more frequently,natural gas,walk/bicycle,,126,never,62,extra large,1,13,27,4,830
underweight,male,vegan,more frequently,natural gas,public,,297,rarely,1681,large,3,2,24,19,1624
underweight,male,vegetarian,twice a day,coal,walk/bicycle,,210,never,93,medium,3,16,50,7,1439
underweight,male,omnivore,less frequently,coal,walk/bicycle,,245,very frequently,56,small,1,11,43,13,2904
overweight,female,pescatarian,less frequently,coal,private,lpg,293,very frequently,3509,medium,7,9,33,14,4103
overweight,female,vegetarian,more frequently,wood,walk/bicycle,,173,rarely,37,small,2,15,34,10,1060
underweight,male,omnivore,more frequently,coal,private,lpg,123,very frequently,6731,small,2,7,19,12,4203
underweight,female,vegetarian,daily,coal,public,,75,rarely,1388,small,1,19,5,6,856
normal,male,vegetarian,less frequently,electricity,private,electric,256,frequently,159,extra large,7,4,33,16,2433
normal,male,vegetarian,daily,coal,private,petrol,73,never,7976,extra large,5,5,15,0,4483
obese,male,omnivore,more frequently,electricity,public,,273,never,1032,small,7,7,13,18,1661
underweight,male,vegan,daily,coal,public,,129,rarely,1351,medium,6,5,13,7,1484
overweight,female,vegetarian,less frequently,natural gas,public,,65,very frequently,436,small,2,9,46,23,2955
normal,female,vegan,less frequently,wood,private,lpg,231,rarely,4595,medium,4,16,41,10,2590
underweight,male,vegetarian,less frequently,wood,public,,271,never,770,small,4,0,37,1,1166
obese,female,omnivore,less frequently,natural gas,public,,137,rarely,1632,large,2,13,23,20,1742
obese,female,pescatarian,less frequently,natural gas,public,,54,rarely,69,extra large,5,0,15,17,1628
obese,male,pescatarian,more frequently,electricity,public,,219,never,1876,large,4,14,37,14,2090
normal,male,vegan,daily,coal,public,,68,never,158,medium,3,5,38,7,1327
obese,female,omnivore,daily,coal,public,,289,frequently,838,extra large,6,18,5,6,2673
overweight,male,vegetarian,more frequently,electricity,private,diesel,76,rarely,2723,large,7,6,28,17,2664
underweight,female,vegan,twice a day,electricity,public,,67,frequently,593,medium,2,11,26,17,1239
